Kawasaki ZZR 1100 ,"1 100 см3 (110 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, черный",121 000 ₽,1996,37 000 км
Honda CBR 1000 RR/RA Fireblade ,"1 000 см3 (178 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, белый",500 000 ₽,2012,24 000 км
BMW R 1250 R ,"1 250 см3 (135 л.с.), оппозитное, 2 цилиндра, 4 такта, 6 передач, кардан, черный",1 387 100 ₽,2019,Новый
Suzuki GSX-R 750 ,"750 см3 (140 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, желтый",240 000 ₽,2002,43 000 км
Kawasaki ER-4n ,"400 см3 (45 л.с.), рядное, 2 цилиндра, 4 такта, 6 передач, цепь, черный",230 000 ₽,2012,18 000 км
BMW R 1250 RS ,"1 250 см3 (135 л.с.), оппозитное, 2 цилиндра, 4 такта, 6 передач, кардан, желтый",1 467 000 ₽,2019,Новый
ИЖ Планета ,"350 см3, 1 цилиндр, 2 такта, 4 передачи, цепь, красный",30 000 ₽,1998,7 800 км
Suzuki Bandit GSF 1200 ,"1 200 см3, рядное, 4 цилиндра, 4 такта, 5 передач, цепь, синий",250 000 ₽,2006,22 000 км
Bajaj Pulsar NS 200 ,"200 см3 (23 л.с.), v-образное, 1 цилиндр, 4 такта, 6 передач, цепь, черный",120 000 ₽,2015,7 500 км
Урал M-67 ,"666 см3 (36 л.с.), оппозитное, 2 цилиндра, 4 такта, 4 передачи, кардан, зеленый",70 000 ₽,1984,23 500 км
Honda CB 400 Super Four ,"400 см3 (59 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, черный",80 000 ₽,1992,30 000 км
Honda Transalp 600 ,"600 см3, синий",148 349 ₽,1992,71 000 км
KTM RC 390 ,"390 см3 (44 л.с.), рядное, 1 цилиндр, 4 такта, 6 передач, цепь, черный",335 000 ₽,2018,1 700 км
Kawasaki ZXR 750 ,"750 см3 (125 л.с.), рядное, 4 цилиндра, 4 такта, 5 передач, цепь, зеленый",138 000 ₽,1995,37 000 км
Kawasaki Ninja 250R ,"250 см3 (32 л.с.), рядное, 2 цилиндра, цепь, белый",110 000 ₽,2011,11 000 км
BSE MX 125 ,"125 см3 (11 л.с.), 1 цилиндр, 4 передачи, цепь, синий",60 000 ₽,2019,10 км
Suzuki GSX-R 600 ,"600 см3 (125 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, синий",300 000 ₽,2006,43 000 км
Yamaha TT-R250 ,"249 см3, белый",200 000 ₽,1994,14 000 км
BMW R Nine T ,"1 200 см3 (110 л.с.), оппозитное, 2 цилиндра, 4 такта, 6 передач, кардан, серый",950 000 ₽,2016,6 000 км
Yamaha XT 250 Serow ,"249 см3, cеребристый",220 000 ₽,2005,6 000 км
Kawasaki KLX 250 ,"249 см3, черный",250 000 ₽,2007,20 000 км
Suzuki Boulevard M109R ,"1 800 см3 (125 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, кардан, черный",599 000 ₽,2008,32 000 км
Honda VFR 800 ,"800 см3 (108 л.с.), рядное, 2 цилиндра, 6 передач, цепь, белый",515 000 ₽,2014,14 500 км
Harley-Davidson Sportster 1200 ,"1 200 см3 (66 л.с.), красный",600 000 ₽,2012,7 280 км
Honda CRM 250 ,"249 см3 (40 л.с.), рядное, 1 цилиндр, 2 такта, 6 передач, цепь, красный",150 000 ₽,1995,20 700 км
Kawasaki KL 250 ,"249 см3, зеленый",200 000 ₽,2001,19 000 км
Honda CB 900F (Hornet) ,"2 000 см3 (120 л.с.), 4 цилиндра, 6 передач, цепь, черный",220 000 ₽,2005,41 000 км
Honda CBR 600RR ,"599 см3 (120 л.с.), v-образное, 4 цилиндра, 4 такта, 6 передач, цепь, оранжевый",600 000 ₽,2014,20 000 км
Honda VT 750 ,"750 см3, v-образное, 5 передач, кардан, черный",319 000 ₽,2009,24 800 км
BMW S 1000 RR ,"999 см3 (200 л.с.), рядное, 4 цилиндра, 6 передач, цепь, красный",1 245 000 ₽,2017,2 650 км
Suzuki Boulevard M109R ,"1 784 см3 (130 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, кардан, белый",380 000 ₽,2007,16 617 км
Honda CBR 1000 RR/RA Fireblade ,"1 000 см3 (171 л.с.), рядное, 4 цилиндра, 6 передач, цепь, оранжевый",349 000 ₽,2007,37 200 км
KTM 990 Adventure ,"999 см3 (98 л.с.), v-образное, 2 цилиндра, 6 передач, цепь, серый",500 000 ₽,2008,126 000 км
BMW S 1000 RR ,"999 см3 (198 л.с.), 4 цилиндра, 6 передач, цепь, черный",900 000 ₽,2015,8 000 км
Honda VFR 800 ,"800 см3, 4 цилиндра, 4 такта, 6 передач, цепь, белый",520 000 ₽,2011,19 500 км
Yamaha YBR 125 ,"125 см3 (10 л.с.), 1 цилиндр, 4 такта, 5 передач, цепь, пурпурный",120 000 ₽,2013,3 888 км
Honda VFR 1200 ,"1 200 см3 (111 л.с.), v-образное, 4 цилиндра, 4 такта, акпп, кардан, пурпурный",545 000 ₽,2010,27 500 км
KTM 990 SM ,"990 см3 (115 л.с.), 6 передач, цепь, черный",400 000 ₽,2009,47 000 км
Honda VFR 800 ,"800 см3, желтый",270 000 ₽,1999,47 000 км
Yamaha WR 250 F ,"250 см3 (41 л.с.), 1 цилиндр, синий",205 000 ₽,2000,15 377 км
Kawasaki ZX-6 Ninja ,"600 см3, 4 цилиндра, черный",450 000 ₽,2009,9 395 км
Honda CBR 929RR Fireblade ,"929 см3, синий",220 000 ₽,2001,50 000 км
Honda CBR 250R ,"250 см3 (25 л.с.), 6 передач, цепь, оранжевый",180 000 ₽,2013,13 300 км
Honda CB 400 Super Four ,"400 см3, 4 цилиндра, 6 передач, цепь, синий",155 000 ₽,2001,35 000 км
Yamaha FZ1 ,"1 000 см3 (100 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, красный",290 000 ₽,2006,40 800 км
Suzuki V-Strom DL 650 ,"650 см3 (69 л.с.), v-образное, 2 цилиндра, 4 такта, 6 передач, цепь, серый",417 000 ₽,2013,5 242 км
Honda VFR 1200 ,"1 200 см3 (111 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, кардан, белый",529 000 ₽,2010,20 384 км
Yamaha YZF-R1 ,"998 см3 (182 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, белый",600 000 ₽,2010,14 000 км
Honda X4 ,"1 284 см3 (100 л.с.), рядное, 4 цилиндра, цепь, красный",225 000 ₽,2003,79 950 км
Harley-Davidson Electra Glide ,"1 745 см3 (90 л.с.), v-образное, 2 цилиндра, 6 передач, ремень, черный",1 300 000 ₽,2017,10 000 км
BMW F 800 R ,"800 см3 (90 л.с.), рядное, 2 цилиндра, 4 такта, 6 передач, цепь, синий",420 000 ₽,2015,18 875 км
Yamaha FZ1 ,"1 000 см3 (150 л.с.), рядное, 4 цилиндра, 6 передач, цепь, черный",350 000 ₽,2007,55 000 км
BMW G 310 GS ,"310 см3, 1 цилиндр, 4 такта, 6 передач, цепь, черный",339 999 ₽,2018,1 500 км
Yamaha XJ6 (FZ6-R) ,"600 см3 (78 л.с.), цепь, черный",330 000 ₽,2012,35 700 км
Honda VTX 1800 ,"1 800 см3 (107 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, кардан, черный",460 000 ₽,2002,30 000 км
Suzuki SV 400 ,"400 см3 (53 л.с.), v-образное, 2 цилиндра, 4 такта, серый",100 000 ₽,1999,41 000 км
Honda NC 700 ,"700 см3 (48 л.с.), рядное, 2 цилиндра, 4 такта, 6 передач, цепь, черный",320 000 ₽,2012,13 500 км
Yamaha XVS 400 ,"400 см3, черный",207 000 ₽,2008,20 025 км
Honda VT 750 ,"750 см3, коричневый",235 000 ₽,1998,23 419 км
Honda CB 1300 ,"1 300 см3, серый",319 000 ₽,2007,70 070 км
Honda NC 750 ,"750 см3, акпп, cеребристый",425 000 ₽,2014,24 881 км
Honda NC 700 ,"750 см3, акпп, серый",415 000 ₽,2014,14 863 км
Kawasaki VN900 Vulcan ,"900 см3, ремень, черный",319 000 ₽,2008,30 685 км
Honda NC 750 ,"750 см3, серый",404 000 ₽,2014,31 002 км
Suzuki Bandit GSF 1250 ,"1 250 см3, синий",369 000 ₽,2007,39 018 км
Honda CB 1300 ,"1 300 см3, рядное, 4 цилиндра, красный",330 000 ₽,2006,69 737 км
Suzuki Boulevard M109R ,"1 800 см3 (126 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, кардан, синий",420 000 ₽,2008,19 500 км
Honda CB 400 Super Four ,"399 см3 (53 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, черный",140 000 ₽,1993,47 000 км
IRBIS TTR 250 ,"223 см3 (16 л.с.), 4 такта, 5 передач, цепь, красный",70 000 ₽,2014,355 км
BMW F 800 GS ,"800 см3 (86 л.с.), рядное, 2 цилиндра, 4 такта, 6 передач, цепь, зеленый",450 000 ₽,2013,37 000 км
Yamaha XVS 400 ,"400 см3 (34 л.с.), v-образное, 2 цилиндра, 5 передач, кардан, черный",225 000 ₽,2002,22 000 км
IRBIS TTR 250 ,"223 см3 (16 л.с.), 4 такта, 5 передач, цепь, красный",70 000 ₽,2014,355 км
BMW F 800 GS ,"800 см3 (86 л.с.), рядное, 2 цилиндра, 4 такта, 6 передач, цепь, зеленый",450 000 ₽,2013,37 000 км
Yamaha XVS 400 ,"400 см3 (34 л.с.), v-образное, 2 цилиндра, 5 передач, кардан, черный",225 000 ₽,2002,22 000 км
Honda CBR 954RR Fireblade ,"954 см3 (130 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, красный",250 000 ₽,2002,29 000 км
Racer Panther ,"250 см3 (14 л.с.), 1 цилиндр, 4 такта, 5 передач, цепь, оранжевый",60 000 ₽,2015,2 500 км
Suzuki GSX-R 600 ,"600 см3 (125 л.с.), рядное, 4 цилиндра, 4 такта, 6 передач, цепь, синий",300 000 ₽,2006,31 121 км
Honda CB 1100 ,"1 100 см3 (90 л.с.), рядное, 4 цилиндра, 4 такта, 5 передач, цепь, белый",350 000 ₽,2012,28 350 км
Vyrus 984 ,"1 078 см3 (100 л.с.), v-образное, 2 цилиндра, 4 такта, 6 передач, цепь, черный",4 890 000 ₽,2019,Новый
Vyrus 985 ,"999 см3 (160 л.с.), v-образное, 2 цилиндра, 4 такта, 6 передач, цепь, черный",8 888 888 ₽,2018,Новый
Honda Steed 400 ,"400 см3 (31 л.с.), v-образное, 2 цилиндра, 4 такта, 5 передач, цепь, черный",105 000 ₽,1993,12 000 км
Suzuki RV 200 VanVan ,"200 см3 (16 л.с.), 1 цилиндр, 4 такта, 4 передачи, цепь, белый",125 000 ₽,1999,53 200 км
Honda Steed 400 ,"400 см3, v-образное, 2 цилиндра, 4 такта, черный",350 000 ₽,1995,1 км
BMW F 800 S ,"800 см3 (85 л.с.), 2 цилиндра, 4 такта, 6 передач, ремень, белый",290 000 ₽,2007,48 000 км
Honda CBR 929RR Fireblade ,"929 см3, рядное, 4 цилиндра, 4 такта, 6 передач, цепь, черный",250 000 ₽,2000,73 000 км
